1,日产轩逸,东风日产,55746,55746
2,大众朗逸,上汽大众,45524,45524
3,五菱宏光MINI&nbsp;EV,上汽通用五菱,37048,37048
4,丰田凯美瑞,广汽丰田,28023,28023
5,特斯拉&nbsp;Model&nbsp;3,特斯拉中国,26548,26548
6,大众速腾,一汽-大众,26341,26341
7,比亚迪秦PLUS,比亚迪,25535,25535
8,长安逸动,长安汽车,21883,21883
9,宝马5系,华晨宝马,20579,20579
10,丰田雷凌,广汽丰田,19485,19485
11,宝马3系,华晨宝马,18841,18841
12,大众宝来,一汽-大众,18521,18521
13,奥迪A4L,一汽-大众奥迪,18444,18444
14,吉利帝豪,吉利汽车,18129,18129
15,本田雅阁,广汽本田,17601,17601
16,日产天籁,东风日产,17571,17571
17,本田思域,东风本田,16019,16019
18,大众迈腾,一汽-大众,15991,15991
19,大众帕萨特,上汽大众,14668,14668
20,奔驰E级,北京奔驰,13460,13460
21,名爵5,上汽集团,13416,13416
22,马自达3&nbsp;昂克赛拉,长安马自达,13157,13157
23,红旗H5,一汽红旗,13137,13137
24,比亚迪汉,比亚迪,12781,12781
25,丰田卡罗拉,一汽丰田,12564,12564
26,丰田亚洲龙,一汽丰田,12322,12322
27,吉利星瑞,吉利汽车,12109,12109
28,奥迪A3,一汽-大众奥迪,11664,11664
29,荣威i5,上汽集团,10940,10940
30,比亚迪海豚,比亚迪,10602,10602
31,雪佛兰科鲁泽,上汽通用雪佛兰,10591,10591
32,奥迪A6L,一汽-大众奥迪,10450,10450
33,东风风神奕炫,东风乘用车,10434,10434
34,奇瑞QQ冰淇淋,奇瑞新能源,9984,9984
35,长安奔奔EV,长安汽车,9852,9852
36,奇瑞小蚂蚁,奇瑞新能源,9412,9412
37,本田型格,广汽本田,9215,9215
38,欧拉好猫,长城汽车,9020,9020
39,本田飞度,广汽本田,8937,8937
40,本田英仕派,东风本田,8863,8863
41,别克君威,上汽通用别克,8718,8718
42,别克威朗,上汽通用别克,8286,8286
43,大众高尔夫,一汽-大众,8170,8170
44,丰田YARiS&nbsp;L&nbsp;致炫,广汽丰田,7877,7877
45,现代伊兰特,北京现代,7211,7211
46,大众凌渡,上汽大众,7067,7067
47,广汽埃安Aion&nbsp;S,广汽埃安,7049,7049
48,领克03,领克,6818,6818
49,小鹏汽车P7,小鹏汽车,6707,6707
50,吉利缤瑞,吉利汽车,6478,6478
51,凯迪拉克CT5,上汽通用凯迪拉克,6469,6469
52,别克英朗,上汽通用别克,6435,6435
53,大众桑塔纳,上汽大众,6283,6283
54,零跑T03,零跑汽车,6007,6007
55,科莱威CLEVER,上汽集团,5746,5746
56,日产轩逸纯电,东风日产,5424,5424
57,奇瑞艾瑞泽5,奇瑞汽车,5206,5206
58,雪佛兰赛欧,上汽通用雪佛兰,5195,5195
59,别克君越,上汽通用别克,5120,5120
60,长安悦翔,长安汽车,4858,4858
61,本田凌派,广汽本田,4811,4811
62,雪佛兰迈锐宝XL,上汽通用雪佛兰,4782,4782
63,奔驰A级,北京奔驰,4749,4749
64,思皓E10X,江汽集团,4509,4509
65,广汽传祺影豹,广汽乘用车,4458,4458
66,雪铁龙凡尔赛C5&nbsp;X,东风雪铁龙,4440,4440
67,捷达VA3,一汽-大众捷达,4328,4328
68,吉利帝豪L,吉利汽车,4207,4207
69,小鹏汽车P5,小鹏汽车,4029,4029
70,沃尔沃S60,沃尔沃亚太,4004,4004
71,日产骐达,东风日产,3925,3925
72,奔驰C级,北京奔驰,3921,3921
73,欧拉黑猫,长城汽车,3891,3891
74,大众POLO,上汽大众,3888,3888
75,宝马5系新能源,华晨宝马,3787,3787
76,宝马1系,华晨宝马,3766,3766
77,福特福睿斯,长安福特,3722,3722
78,别克微蓝6,上汽通用别克,3652,3652
79,大众CC,一汽-大众,3618,3618
80,现代悦动,北京现代,3599,3599
81,几何A,几何汽车,3585,3585
82,沃尔沃S90,沃尔沃亚太,3578,3578
83,比亚迪e2,比亚迪,3535,3535
84,起亚焕驰,东风悦达起亚,3361,3361
85,荣威Ei5,上汽集团,3353,3353
86,凌宝BOX,吉麦新能源,3266,3266
87,东风风神E70,东风乘用车,3053,3053
88,启辰D60,东风启辰,2917,2917
89,雪佛兰科沃兹,上汽通用雪佛兰,2841,2841
90,丰田凌尚,广汽丰田,2724,2724
91,吉利帝豪新能源,吉利新能源,2666,2666
92,长安睿骋CC,长安汽车,2567,2567
93,本田LIFE,东风本田,2561,2561
94,奔腾B70,一汽奔腾,2377,2377
95,名爵6,上汽集团,2352,2352
96,奔驰E级新能源,北京奔驰,2275,2275
97,标致408,东风标致,2270,2270
98,东风风行景逸S50新能源,东风风行,2254,2254
99,福特蒙迪欧,长安福特,2227,2227
100,丰田亚洲狮,一汽丰田,2220,2220
101,大众ID.3,上汽大众,2215,2215
102,朋克多多,御捷新能源,2173,2173
103,启辰D60新能源,东风启辰,2082,2082
104,雷丁芒果,雷丁,2071,2071
105,起亚福瑞迪,东风悦达起亚,2041,2041
106,丰田威驰,一汽丰田,1995,1995
107,红旗H9,一汽红旗,1971,1971
108,起亚K3,东风悦达起亚,1805,1805
109,宝骏E200,上汽通用五菱,1630,1630
110,朋克美美,御捷新能源,1594,1594
111,名爵3,上汽集团,1564,1564
112,百智大熊,领途汽车,1560,1560
113,凯迪拉克CT6,上汽通用凯迪拉克,1531,1531
114,风光MINIEV,东风小康,1523,1523
115,铃木启悦,长安铃木,1438,1438
116,宝骏KiWi&nbsp;EV,上汽通用五菱,1329,1329
117,北汽新能源EU系列,北汽新能源,1293,1293
118,福特福克斯,长安福特,1222,1222
119,飞凡ER6,上汽集团,1163,1163
120,斯柯达明锐,上汽斯柯达,1062,1062
121,福特金牛座,长安福特,1062,1062
122,比亚迪秦新能源,比亚迪,1006,1006
123,思皓曜,江汽集团,993,993
124,凯迪拉克CT4,上汽通用凯迪拉克,973,973
125,荣威i6,上汽集团,973,973
126,枫叶60s,枫叶汽车,950,950
127,比亚迪e3,比亚迪,829,829
128,雪铁龙C6,东风雪铁龙,788,788
129,标致508,东风标致,755,755
130,起亚K5,东风悦达起亚,754,754
131,大众帕萨特新能源,上汽大众,731,731
132,红旗H7,一汽红旗,658,658
133,凯翼轩度,凯翼汽车,649,649
134,威马E.5,威马汽车,644,644
135,吉利博瑞,吉利汽车,618,618
136,丰田威驰FS,一汽丰田,609,609
137,大众辉昂,上汽大众,604,604
138,捷豹XFL,奇瑞捷豹路虎,589,589
139,雪佛兰畅巡,上汽通用雪佛兰,570,570
140,江铃易至EV3,江铃集团新能源,566,566
141,小虎FEV,小虎汽车,565,565
142,捷豹XEL,奇瑞捷豹路虎,560,560
143,丰田YARiS&nbsp;L&nbsp;致享,广汽丰田,533,533
144,宝骏630,上汽通用五菱,528,528
145,比亚迪F3,比亚迪,527,527
146,极狐阿尔法S(ARCFOX&nbsp;&alpha;S),北汽新能源,523,523
147,广汽本田绎乐,广汽本田,521,521
148,斯柯达昕锐,上汽斯柯达,495,495
149,英菲尼迪Q50L,东风英菲尼迪,487,487
150,电动屋YOUNG光小新,电动屋,484,484
151,大众迈腾GTE,一汽-大众,461,461
152,奥迪A6L新能源,一汽-大众奥迪,367,367
153,沃尔沃S90新能源,沃尔沃亚太,350,350
154,欧拉白猫,长城汽车,318,318
155,奥迪A7L,上汽奥迪,316,316
156,荣威ei6,上汽集团,314,314
157,思皓E50A,江汽集团,302,302
158,DS&nbsp;9,DS汽车,277,277
159,斯柯达速派,上汽斯柯达,269,269
160,华晨新日i03,华晨新日,268,268
161,奇瑞QQ,奇瑞汽车,230,230
162,长安UNI-V,长安汽车,229,229
163,北京U5,北京汽车,224,224
164,昌河北斗星,北汽昌河,205,205
165,奔驰A级AMG,北京奔驰,197,197
166,现代悦纳,北京现代,196,196
167,广汽丰田iA5,广汽丰田,193,193
168,东南A5翼舞,东南汽车,177,177
169,沃尔沃S60新能源,沃尔沃亚太,155,155
170,本田享域,东风本田,131,131
171,广汽传祺GA6,广汽乘用车,107,107
172,全界Q1,云雀汽车,100,100
173,丰田雷凌双擎E+,广汽丰田,96,96
174,现代名图,北京现代,94,94
175,丰田卡罗拉双擎E+,一汽丰田,81,81
176,雪铁龙凡尔赛C5&nbsp;X新能源,东风雪铁龙,72,72
177,现代索纳塔,北京现代,69,69
178,吉利博瑞新能源,吉利新能源,69,69
179,东风富康e爱丽舍,神龙汽车,61,61
180,新宝骏RC-5,上汽通用五菱,61,61
181,现代领动插电混动,北京现代,60,60
182,起亚K3新能源,东风悦达起亚,58,58
183,海马爱尚电动,海马汽车,50,50
184,雷诺江铃羿,雷诺&nbsp;江铃集团,35,35
185,华晨新日i03A,华晨新日,33,33
186,东风风行景逸S50,东风风行,31,31
187,广汽传祺GA4,广汽乘用车,29,29
188,名爵6新能源,上汽集团,17,17
189,现代名图新能源,北京现代,14,14
190,北京U7,北京汽车,14,14
191,北汽EC100,北汽昌河,13,13
192,广汽传祺GA8,广汽乘用车,13,13
193,国机智骏GC,国机智骏,12,12
194,零跑S01,零跑汽车,9,9
195,标致508L新能源,东风标致,8,8
196,红旗E-QM5,一汽红旗,6,6
197,北汽昌河A6,北汽昌河,1,1
198,北汽新能源EC系列,北汽新能源,1,1
